Title,Authors,URL,DOI,Published Date,Category,Novelty Overlap,Paper,Use In Project,Why Relevant,Year,Summary
Epidemic Information Extraction for Event-Based Surveillance using Large Language Models,"S. Consoli, P. Markov, N. Stilianakis, Lorenzo Bertolini, Antonio Puertas Gallardo, Mario Ceresa",https://link.springer.com/content/pdf/10.1007/978-981-97-4581-4_17.pdf,10.1007/978-981-97-4581-4_17,2024,Direct LLM precedent,"High overlap with the extraction component; novelty would need to come from stronger validation, broader fields, localization, or prospective evaluation.",Epidemic Information Extraction for Event-Based Surveillance using Large Language Models,"Core baseline for prompt design, model comparison, and extraction evaluation.",Uses LLMs to interpret unstructured ProMED and WHO Disease Outbreak News material and evaluates extraction approaches.,2024,"Abstract This paper presents a novel approach to epidemic surveillance, leveraging the power of artificial intelligence and large language models (LLMs) for effective interpretation of unstructured big data sources like the popular ProMED and WHO Disease Outbreak News. We explore several LLMs, evaluating their capabilities in extracting valuable epidemic information. We further enhance the capabilities of the LLMs using in-context learning and test the performance of an ensemble model incorporating multiple open-source LLMs. The findings indicate that LLMs can significantly enhance the accuracy and timeliness of epidemic modelling and forecasting, offering a promising tool for managing future pandemic events"
From Text to Maps: LLM-Driven Extraction and Geotagging of Epidemiological Data,"Karlyn Harrod, Prabin Bhandari, Antonios Anastasopoulos",https://aclanthology.org/2024.nlp4pi-1.24.pdf,10.18653/v1/2024.nlp4pi-1.24,2024,Direct LLM + geospatial precedent,Very high overlap with the proposed extractor plus mapping component.,From Text to Maps: LLM-Driven Extraction and Geotagging of Epidemiological Data,"Baseline for text-to-coordinate conversion, annotation workflow, and geotagging error analysis.","Automates epidemiological information extraction and geotagging from text, including higher-resolution locations and human validation.",2024,"Epidemiological datasets are essential for public health analysis and decision-making, yet they remain scarce and often difficult to compile due to inconsistent data formats, language barriers, and evolving political boundaries. Traditional methods of creating such datasets involve extensive manual effort and are prone to errors in accurate location extraction. To address these challenges, we propose utilizing large language models (LLMs) to automate the extraction and geotagging of epidemiological data from textual documents. Our approach significantly reduces the manual effort required, limiting human intervention to validating a subset of records against text snippets and verifying the geotagging reasoning, as opposed to reviewing multiple entire documents manually to extract, clean, and geotag. Additionally, the LLMs identify information often overlooked by human annotators, further enhancing the dataset’s completeness. Our findings demonstrate that LLMs can be effectively used to semi-automate the extraction and geotagging of epidemiological data, offering several key advantages: (1) comprehensive information extraction with minimal risk of missing critical details; (2) minimal human intervention; (3) higher-resolution data with more precise geotagging; and (4) significantly reduced resource demands compared to traditional methods."
A Novel Multi-Stage Rule-Based Information Extraction Framework for Disease Outbreak Detection with Enhanced Geographical Granularity,"M. Joy, M. Krishnaveni",https://etasr.com/index.php/ETASR/article/download/14931/5973,10.48084/etasr.14931,2025,Direct spatial-granularity precedent,Very high overlap with localized containment-zone extraction; an LLM-only implementation would not be novel by itself.,A Novel Multi-Stage Rule-Based Information Extraction Framework for Disease Outbreak Detection with Enhanced Geographical Granularity,Strong non-LLM baseline and precedent for neighborhood/landmark-level extraction.,Extracts outbreak entities from unstructured text and visualizes them on maps; reports 94.86% precision using DistilBERT plus rules.,2025,"A critical limitation of modern event-based bio-surveillance systems is their reliance on headline-level data rather than a systematic analysis of the underlying news narratives. Although they provide general awareness, they often lack the geographical granularity needed to generate actionable insights and support location-specific public health interventions. To address this limitation, this study presents a method for extracting epidemic-related information from unstructured text corpora on digital platforms. By transforming unstructured text into a structured format using advanced NLP techniques, this approach facilitates the visualization of outbreak information on Google Maps with enhanced spatial detail. Kerala is recognized as the ""Alarm bell of India"" for consistently reporting the first instance of many outbreaks that have emerged throughout the country, including the first Nipah outbreak in 2018, the first COVID-19 case in 2020, and the index Monkeypox case in 2022. This pattern highlights Kerala's pivotal role in the early detection of emerging infectious diseases, highlighting the need for a more advanced and efficient bio-surveillance system to enhance public health preparedness. This study presents a novel approach to identify entities related to outbreaks using an optimized DistilBERT model, combined with a multi-stage rule-based method for automated information extraction from unstructured text corpora, achieving an overall precision of 94.86%. Experimental results demonstrate that the proposed framework is highly effective in tracking diseases that severely impact public health and disrupt socio-economic stability."
"Development of a global infectious disease activity database using natural language processing, machine learning, and human expertise","Joshua Feldman, Andrea Thomas-Bachli, Jack Forsyth, Z. Patel, K. Khan",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7647217,10.1093/jamia/ocz112,2019,System and lead-time benchmark,High overlap with the proposed end-to-end alert and official-report comparison; it reported 43.4 days earlier detection on average for outbreaks covered by online media.,"Development of a global infectious disease activity database using natural language processing, machine learning, and human expertise","Benchmark data model, gold-standard design, and lead-time evaluation template.","Built a labeled media corpus of 8,322 reports, monitored 114 illnesses/syndromes, and compared online-media detection with WHO reports.",2019,"OBJECTIVE
We assessed whether machine learning can be utilized to allow efficient extraction of infectious disease activity information from online media reports.


MATERIALS AND METHODS
We curated a data set of labeled media reports (n = 8322) indicating which articles contain updates about disease activity. We trained a classifier on this data set. To validate our system, we used a held out test set and compared our articles to the World Health Organization Disease Outbreak News reports.


RESULTS
Our classifier achieved a recall and precision of 88.8% and 86.1%, respectively. The overall surveillance system detected 94% of the outbreaks identified by the WHO covered by online media (89%) and did so 43.4 (IQR: 9.5-61) days earlier on average.


DISCUSSION
We constructed a global real-time disease activity database surveilling 114 illnesses and syndromes. We must further assess our system for bias, representativeness, granularity, and accuracy.


CONCLUSION
Machine learning, natural language processing, and human expertise can be used to efficiently identify disease activity from digital media reports."
EventEpi—A natural language processing framework for event-based surveillance,"Auss Abbood, A. Ullrich, Rüdiger Busche, Stéphane Ghozzi",https://journals.plos.org/ploscompbiol/article/file?id=10.1371/journal.pcbi.1008277&type=printable,10.1371/journal.pcbi.1008277,2019,End-to-end EBS system,"High overlap with the proposed ingestion, extraction, and database pipeline.",EventEpi—A natural language processing framework for event-based surveillance,"Reference architecture, field schema, relevance classifier, and reproducible open-source baseline.","Scrapes WHO Disease Outbreak News and ProMED, extracts disease/country/date/case count, scores relevance, and writes results to a database.",2019,"According to the World Health Organization (WHO), around 60% of all outbreaks are detected using informal sources. In many public health institutes, including the WHO and the Robert Koch Institute (RKI), dedicated groups of public health agents sift through numerous articles and newsletters to detect relevant events. This media screening is one important part of event-based surveillance (EBS). Reading the articles, discussing their relevance, and putting key information into a database is a time-consuming process. To support EBS, but also to gain insights into what makes an article and the event it describes relevant, we developed a natural language processing framework for automated information extraction and relevance scoring. First, we scraped relevant sources for EBS as done at the RKI (WHO Disease Outbreak News and ProMED) and automatically extracted the articles’ key data: disease, country, date, and confirmed-case count. For this, we performed named entity recognition in two steps: EpiTator, an open-source epidemiological annotation tool, suggested many different possibilities for each. We extracted the key country and disease using a heuristic with good results. We trained a naive Bayes classifier to find the key date and confirmed-case count, using the RKI’s EBS database as labels which performed modestly. Then, for relevance scoring, we defined two classes to which any article might belong: The article is relevant if it is in the EBS database and irrelevant otherwise. We compared the performance of different classifiers, using bag-of-words, document and word embeddings. The best classifier, a logistic regression, achieved a sensitivity of 0.82 and an index balanced accuracy of 0.61. Finally, we integrated these functionalities into a web application called EventEpi where relevant sources are automatically analyzed and put into a database. The user can also provide any URL or text, that will be analyzed in the same way and added to the database. Each of these steps could be improved, in particular with larger labeled datasets and fine-tuning of the learning algorithms. The overall framework, however, works already well and can be used in production, promising improvements in EBS. The source code and data are publicly available under open licenses."
Model Formulation: HealthMap: Global Infectious Disease Monitoring through Automated Classification and Visualization of Internet Media Reports,"C. Freifeld, K. Mandl, Ben Y. Reis, J. Brownstein",https://academic.oup.com/jamia/article-pdf/15/2/150/2086063/15-2-150.pdf,,2008,Foundational platform,The general idea of automated media-based outbreak monitoring is established.,Model Formulation: HealthMap: Global Infectious Disease Monitoring through Automated Classification and Visualization of Internet Media Reports,Historical baseline and positioning against HealthMap-style aggregation.,Describes automated classification and visualization of internet media reports for global infectious-disease monitoring.,2008,"Objective Unstructured electronic information sources, such as news reports, are proving to be valuable inputs for public health surveillance. However, staying abreast of current disease outbreaks requires scouring a continually growing number of disparate news sources and alert services, resulting in information overload. Our objective is to address this challenge through the HealthMap.org Web application, an automated system for querying, filtering, integrating and visualizing unstructured reports on disease outbreaks. Design This report describes the design principles, software architecture and implementation of HealthMap and discusses key challenges and future plans. Measurements We describe the process by which HealthMap collects and integrates outbreak data from a variety of sources, including news media (e.g., Google News), expert-curated accounts (e.g., ProMED Mail), and validated official alerts. Through the use of text processing algorithms, the system classifies alerts by location and disease and then overlays them on an interactive geographic map. We measure the accuracy of the classification algorithms based on the level of human curation necessary to correct misclassifications, and examine geographic coverage. Results As part of the evaluation of the system, we analyzed 778 reports with HealthMap, representing 87 disease categories and 89 countries. The automated classifier performed with 84% accuracy, demonstrating significant usefulness in managing the large volume of information processed by the system. Accuracy for ProMED alerts is 91% compared to Google News reports at 81%, as ProMED messages follow a more regular structure. Conclusion HealthMap is a useful free and open resource employing text-processing algorithms to identify important disease outbreak information through a user-friendly interface."
"MoH+: A Global, Integrated, and Automated View of Official Outbreak Reporting","Chi Bahk, D. Scales, Sumiko R. Mekaru, J. Brownstein, C. Freifeld",https://ojphi.org/ojs/index.php/ojphi/article/download/4479/3647,10.5210/OJPHI.V5I1.4479,2013,Official-versus-unofficial timing,High overlap with the proposed time-gap calculator; the timing comparison itself is not new.,"MoH+: A Global, Integrated, and Automated View of Official Outbreak Reporting","Template for defining timestamps, matching outbreak events, and avoiding an uninformative date comparison.","Compared official government reporting with Google News, ProMED, and participatory surveillance and quantified reporting lags.",2013,"Objective To introduce MoH+, HealthMap’s (HM) real-time feed of official government sources, and demonstrate its utility in comparing the timeliness of outbreak reporting between official and unofficial sources. Introduction Previous studies have documented significant lags in official reporting of outbreaks compared to unofficial reporting (1,2). MoH+ provides an additional tool to analyze this issue, with the unique advantage of actively gathering a wide range of streamlined official communication, including formal publications, online press releases, and social media updates. Methods Outbreaks reported by official sources were identified through MoH+ (healthmap.org/mohplus), which collects surveillance data published globally by ministries of health (MoH), other related ministries, government portals, government-affiliated organizations, and international governing bodies (Fig. 1). Reporting of these outbreaks was also identified in unofficial sources using various HM feeds including Google News, ProMED, and participatory surveillance feeds. Of the 109 outbreaks identified since May 2012, 65 were excluded as they started before data collection, 7 were excluded as they were not reported by unofficial sources, and 1 was excluded as it was a non-natural outbreak. For the remaining 36 outbreaks, the median difference in first date of report between official and unofficial sources was analyzed using a Wilcoxon sign rank test. Results Outbreak reporting in official sources lagged by a statistically significant median of 2 days (p=0.003). Among unofficial sources, online news most often (75%) was the fastest to report an outbreak, followed by ProMED (22%) and participatory surveillance (3%). Among official sources, national government affiliated institutes were most often (41%) the fastest, and repeatedly providing prompt outbreak reports were the US Centers for Disease Control and Prevention (CDC), Public Health Agency of Canada, Finnish Food Safety Authority, Health Protection Scotland, UK Health Protection Agency, and French Institute of Public Health Surveillance (FIPHS). Following such institutes were the European CDC (ECDC) with 22% of first reports of outbreaks; MoH’s (17%); and WHO (10%). There were 4 instances in which official sources reported before unofficial sources—3 by the ECDC and 1 by FIPHS. Conclusions Compared to the Chan study reporting a 16 day lag between first public communication and WHO Outbreak News (1) and the Mondor study reporting a 10 day lag between non-government and government sources (2), the present study shows a much condensed lag of 2 days between unofficial and official sources. Because the two earlier studies cover a much broader historical time frame, one explanation for the reduced lag time is increased adoption of online communication by official government agencies. However, despite such improvements in communication, the lag persists, pointing to the importance of using informal sources for outbreak surveillance. The present study was limited by small sample size, as the study is in its early stages. We will continue to gather data and all numbers will be updated in time for the presentation to reflect the larger database. Future directions of this study include characterization of official and unofficial reporting by region, language, disease, and source."
A methodology to enhance spatial understanding of disease outbreak events reported in news articles,"H. Chanlekha, Nigel Collier",https://www.semanticscholar.org/paper/889fd7010f400f63ec50d5fce83c5273a9b519db,10.1016/j.ijmedinf.2010.01.014,2010,Fine-grained geolocation,"High overlap with localized containment-zone identification, though modern LLMs and uncertainty-aware geocoding could extend it.",A methodology to enhance spatial understanding of disease outbreak events reported in news articles,Annotation scheme and benchmark for landmark/neighborhood spatial extraction.,Created a gold-standard corpus and evaluated heuristic and CRF methods for the finest spatial attribute in outbreak news.,2010,"PURPOSE
The emergence and re-emergence of disease outbreaks of international concern in the last several years has raised the importance of health surveillance systems that exploit the open media for their timely and precise detection of events. However, one of the key barriers faced by current event-based health surveillance systems is in identifying fine-grained terms for an outbreak's geographical location. In this article, we present a method to tackle this problem by associating each reported event with the most specific spatial information available in a news report. This would be useful not only for health surveillance systems, but also for other event-centered processing systems.

METHODS
To develop an automated spatial attribute annotation system, we first created a gold standard corpus for training a machine learning model. Since the qualitative analysis on data suggested that the event class might have an impact on the spatial attribute annotation, we also developed an event classification system to incorporate event class information into the spatial attribute annotation model. To automatically recognize the spatial attribute of events, several approaches, ranging from a simple heuristic technique to a more sophisticated approach based on a state-of-the-art Conditional Random Fields (CRFs) model were explored. Different feature sets were incorporated into the model and compared.

RESULTS
The evaluations were conducted on 100 outbreak news articles. Spatial attribute recognition performance was evaluated based on three metrics; precision, recall and the harmonic mean of precision and recall (F-score). Among three strategies proposed in this article, the CRF model appeared to be the most promising for spatial attribute recognition with a best performance of 85.5% F-score (86.3% precision and 84.7% recall).

CONCLUSION
We presented a methodology for associating each event in media outbreak reports with their spatial attribute at the finest level of granularity. Our goal has been to provide a means for enhancing the spatial understanding of outbreak-related events. Evaluation studies showed promising results for automatic spatial attribute annotation. In the future, we plan to explore more features, such as semantic correlation between words, that maybe useful for the spatial attribute annotation task.

(c) 2010 Elsevier Ireland Ltd. All rights reserved.

"
GeospatRE: extraction and geocoding of spatial relation entities in textual documents,"Mehtab Alam Syed, E. Arsevska, M. Roche, M. Teisseire",https://www.tandfonline.com/doi/pdf/10.1080/15230406.2023.2264753?needAccess=true,10.1080/15230406.2023.2264753,2023,Spatial relations and polygons,High overlap with boundary construction; novelty could lie in validating LLM-derived zones against public-health ground truth.,GeospatRE: extraction and geocoding of spatial relation entities in textual documents,Critical baseline for translating relational language into containment geometry rather than point geocoding only.,"Extracts spatial relations such as north of, nearby, and distance-from, then derives polygon regions for epidemiological mapping.",2023,"ABSTRACT Spatial information extraction from textual documents and its accurate geo-referencing are important steps in epidemiology, with many applications such as outbreak detection and disease surveillance and control. However, inaccuracy in extraction of such geospatial information will result into inaccurate location identification, which in consequence may produce erroneous information for outbreak investigation and disease surveillance. One of the problems is the extraction of geospatial relations associated with spatial entities in the text documents. In order to identify such geospatial relations, we categorized them into three major relations: 1) Level-1, e.g. center, north, south; 2) Level-2, e.g. nearby, border; 3) Level-3, e.g. distance from spatial entities e.g. 30 km, 20 miles, 100 m, etc., respectively. This work introduces a novel approach for extracting and georeferencing spatial information from textual documents for accurate identification of geospatial relations associated with spatial entities to enhance outbreak monitoring and disease surveillance. We propose a two-step methodology: (i) Extraction of geospatial relations associated with spatial entities, using a clause-based approach, and (ii) Geo-referencing of geospatial relations associated with spatial entities in order to identify the polygon regions, using a custom algorithm to slice or derive the geospatial relation regions from the place name and their geospatial relations. The first step is evaluated with a disease news article dataset consisting of event information and obtaining a precision of 0.9, recall of 0.88 and F-Score of 0.88 respectively. The second step entails using a qualitative evaluation of shapes by end-users. Promising results are obtained for the experiments in second step."
Digital surveillance in Latin American diseases outbreaks: information extraction from a novel Spanish corpus,"Antonella Dellanzo, Viviana Cotik, Danielle Barriga, Jonathan Jimmy Mollapaza Apaza, Daniel Palomino, Fernando Schiaffino, Alexander Yanque Aliaga, José Eduardo Ochoa Luna",https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-022-05094-y,10.1186/s12859-022-05094-y,2022,Multilingual EBS,The multilingual and cross-lingual angle is already represented in prior work; novelty requires a clearly broader or better-validated contribution.,Digital surveillance in Latin American diseases outbreaks: information extraction from a novel Spanish corpus,"Multilingual extension, corpus construction, and relation-extraction evaluation.","Created an annotated Spanish ProMED corpus and trained NER/relation-extraction models for diseases, hosts, and locations.",2022,"Background In order to detect threats to public health and to be well-prepared for endemic and pandemic illness outbreaks, countries usually rely on event-based surveillance (EBS) and indicator-based surveillance systems. Event-based surveillance systems are key components of early warning systems and focus on fast capturing of data to detect threat signals through channels other than traditional surveillance. In this study, we develop Natural Language Processing tools that can be used within EBS systems. In particular, we focus on information extraction techniques that enable digital surveillance to monitor Internet data and social media. Results We created an annotated Spanish corpus from ProMED-mail health reports regarding disease outbreaks in Latin America. The corpus has been used to train algorithms for two information extraction tasks: named entity recognition and relation extraction. The algorithms, based on deep learning and rules, have been applied to recognize diseases, hosts, and geographical locations where a disease is occurring, among other entities and relations. In addition, an in-depth analysis of micro-average F1 metrics shows the suitability of our approaches for both tasks. Conclusions The annotated corpus and algorithms presented could leverage the development of automated tools for extracting information from news and health reports written in Spanish. Moreover, this framework could be useful within EBS systems to support the early detection of Latin American disease outbreaks."
